time,one,tow
2024-06-24 21:09:01.580019,-0.2500000000000001,0.06
2024-06-24 21:09:01.798822,-0.2600000000000001,0.07
2024-06-24 21:09:02.052234,-0.2500000000000001,0.06
2024-06-24 21:09:02.267612,-0.2500000000000001,0.06
2024-06-24 21:09:02.455026,-0.2500000000000001,0.06
2024-06-24 21:09:02.673760,-0.2500000000000001,0.06
2024-06-24 21:09:02.908150,-0.2500000000000001,0.06
2024-06-24 21:09:03.173753,-0.2500000000000001,0.06
2024-06-24 21:09:03.361324,-0.2500000000000001,0.06
2024-06-24 21:09:03.580020,-0.2500000000000001,0.06
2024-06-24 21:09:03.814808,-0.2500000000000001,0.06
2024-06-24 21:09:04.051808,-0.2500000000000001,0.06
2024-06-24 21:09:04.267514,-0.2500000000000001,0.06
2024-06-24 21:09:04.452047,-0.2500000000000001,0.06
2024-06-24 21:09:04.642532,-0.2500000000000001,0.06
2024-06-24 21:09:04.876929,-0.2500000000000001,0.06
2024-06-24 21:09:05.095682,-0.2500000000000001,0.06
2024-06-24 21:09:05.330021,-0.2500000000000001,0.06
2024-06-24 21:09:05.552058,-0.2500000000000001,0.06
2024-06-24 21:09:05.767514,-0.2500000000000001,0.06
2024-06-24 21:09:06.017508,-0.2500000000000001,0.06
2024-06-24 21:09:06.267563,-0.2500000000000001,0.06
2024-06-24 21:09:06.423752,-0.2500000000000001,0.06
2024-06-24 21:09:06.642539,-0.2500000000000001,0.06
2024-06-24 21:09:06.814378,-0.2500000000000001,0.06
2024-06-24 21:09:06.970650,-0.2500000000000001,0.06
2024-06-24 21:09:07.173784,-0.2500000000000001,0.06
2024-06-24 21:09:07.376898,-0.2500000000000001,0.06
2024-06-24 21:09:07.595642,-0.2500000000000001,0.06
2024-06-24 21:09:07.798792,-0.2500000000000001,0.06
2024-06-24 21:09:08.017533,-0.2500000000000001,0.06
2024-06-24 21:09:08.251930,-0.2500000000000001,0.06
2024-06-24 21:09:08.423757,-0.2500000000000001,0.06
2024-06-24 21:09:08.673897,-0.2700000000000001,0.07
2024-06-24 21:09:08.876907,-0.2700000000000001,0.07
2024-06-24 21:09:09.111250,-0.2700000000000001,0.07
2024-06-24 21:09:09.354048,-0.2700000000000001,0.07
2024-06-24 21:09:09.580067,-0.2700000000000001,0.07
2024-06-24 21:09:09.784867,-0.2700000000000001,0.07
2024-06-24 21:09:09.986271,-0.2700000000000001,0.07
2024-06-24 21:09:10.205025,-0.2700000000000001,0.08
2024-06-24 21:09:10.408200,-0.2700000000000001,0.08
2024-06-24 21:09:10.580000,-0.2700000000000001,0.08
2024-06-24 21:09:10.783173,-0.2700000000000001,0.08
2024-06-24 21:09:10.986262,-0.2700000000000001,0.08
2024-06-24 21:09:11.189375,-0.2700000000000001,0.08
2024-06-24 21:09:11.455528,-0.2700000000000001,0.08
2024-06-24 21:09:11.642525,-0.2700000000000001,0.08
2024-06-24 21:09:11.892594,-0.2700000000000001,0.08
2024-06-24 21:09:12.111393,-0.2700000000000001,0.08
2024-06-24 21:09:12.314420,-0.2700000000000001,0.08
2024-06-24 21:09:12.580073,-0.2700000000000001,0.08
2024-06-24 21:09:12.752633,-0.2700000000000001,0.08
2024-06-24 21:09:12.955025,-0.2700000000000001,0.08
2024-06-24 21:09:13.142506,-0.2700000000000001,0.08
2024-06-24 21:09:13.376887,-0.2500000000000001,0.06
2024-06-24 21:09:13.652264,-0.2600000000000001,0.07
2024-06-24 21:09:13.876926,-0.2500000000000001,0.06
2024-06-24 21:09:14.095673,-0.2500000000000001,0.06
2024-06-24 21:09:14.298792,-0.2500000000000001,0.06
2024-06-24 21:09:14.579990,-0.2800000000000001,0.1100000000000001
2024-06-24 21:09:14.798789,-0.2500000000000001,0.06
2024-06-24 21:09:15.095636,-0.2500000000000001,0.06
2024-06-24 21:09:15.314420,-0.2400000000000001,0.05
2024-06-24 21:09:15.595654,-0.2400000000000001,0.05
2024-06-24 21:09:15.878154,-0.2599999999999999,0.06
